"sp00n","n4m3","t41l","w31ght","c0l0r","ag3","l3ngth","g3nd3r","g00d"
7,"Clint",10,5,"brown",1,40,"male",1
11,"Mario",11,4,"purple",5,49,"male",1
11,"Vickie",11,2,"red",2,49,"female",0
10,"Jacqueline",11,4,"white",1,52,"female",1
14,"Amelia",11,2,"brown",4,43,"female",0
12,"Billie",10,2,"red",3,46,"female",0
12,"Dina",10,2,"red",4,45,"female",0
7,"Alan",11,5,"blue",2,45,"male",1
11,"Polly",11,3,"brown",3,49,"female",1
9,"Virginia",11,3,"grey",5,50,"female",1
12,"Rhonda",11,2,"black",6,51,"female",0
10,"Julie",9,5,"red",5,50,"female",1
7,"Mary",9,4,"red",2,44,"female",1
11,"Eden",10,2,"brown",0,41,"female",0
8,"Kimberly",11,5,"grey",7,41,"female",1
10,"Robert",11,3,"green",2,44,"male",1
8,"Angie",8,3,"green",2,44,"female",1
11,"Charles",10,2,"red",4,49,"male",0
11,"Lura",11,2,"black",4,43,"female",0
10,"Anna",8,5,"grey",2,51,"female",1
11,"Sandra",10,2,"red",3,40,"female",0
11,"Latonya",10,2,"black",1,45,"female",0
7,"Ryan",10,5,"green",2,40,"male",1
11,"Lori",10,2,"brown",4,47,"female",0
12,"Michelle",10,2,"black",4,52,"female",0
10,"Michael",10,2,"red",4,48,"male",0
13,"Kathy",10,2,"red",4,50,"female",0
9,"Lisa",11,3,"green",7,42,"female",1
9,"Jennifer",11,4,"white",2,40,"female",1
10,"Hallie",10,2,"brown",3,48,"female",0
14,"Heather",11,2,"black",3,45,"female",0
10,"John",11,4,"grey",7,50,"male",1
7,"Janet",9,4,"brown",6,41,"female",1
9,"Stephanie",8,3,"brown",6,48,"female",1
10,"Jose",11,2,"brown",2,43,"male",0
10,"Charles",9,3,"purple",1,41,"male",1
10,"Betty",11,2,"red",6,41,"female",0
11,"Jeremy",10,4,"white",1,50,"male",1
13,"James",11,2,"red",7,44,"male",0
9,"Chris",8,3,"brown",7,46,"male",1
11,"Roy",9,3,"green",5,48,"male",1
10,"Kim",10,3,"blue",2,43,"female",1
9,"Robert",9,4,"purple",1,47,"male",1
9,"Mary",9,3,"blue",0,46,"female",1
9,"Aida",11,4,"purple",5,46,"female",1
10,"Mabel",11,2,"black",1,44,"female",0
8,"James",8,4,"red",1,49,"male",1
10,"Christina",10,2,"brown",5,47,"female",0
9,"Kimberly",11,3,"purple",3,48,"female",1
12,"Peggy",10,2,"red",6,48,"female",0
10,"Myrna",9,5,"brown",6,42,"female",1
11,"Carmen",8,5,"green",0,45,"female",1
8,"David",10,3,"white",1,51,"male",1
9,"Barbara",10,4,"blue",7,43,"female",1
13,"Matthew",11,2,"brown",6,53,"male",0
11,"Thelma",10,2,"black",2,40,"female",0
8,"Rick",10,3,"grey",0,45,"male",1
11,"Judith",11,3,"red",6,42,"female",1
8,"Dorothy",11,5,"green",4,40,"female",1
7,"Jeanna",10,4,"grey",2,50,"female",1
10,"Daisy",11,2,"brown",2,52,"female",0
8,"Mark",10,4,"green",0,50,"male",1
9,"Thomas",10,5,"blue",5,53,"male",1
11,"Paige",8,5,"red",4,43,"female",1
11,"Denise",10,2,"brown",7,45,"female",0
12,"Leslee",11,2,"brown",2,53,"female",0
7,"Daniel",10,3,"purple",2,48,"male",1
12,"Lisa",10,2,"red",0,40,"female",0
14,"Delena",10,2,"black",5,45,"female",0
11,"Tina",9,4,"red",5,47,"female",1
9,"Roland",10,4,"purple",1,47,"male",1
8,"Obdulia",11,5,"purple",4,45,"female",1
9,"John",8,3,"blue",2,53,"male",1
10,"David",10,5,"brown",5,44,"male",1
11,"David",11,4,"red",6,48,"male",1
11,"Eugene",11,2,"brown",0,51,"male",0
13,"Eunice",11,2,"black",2,44,"female",0
13,"Son",10,2,"black",7,42,"male",0
14,"Betty",11,2,"brown",1,54,"female",0
9,"Randell",8,5,"blue",1,49,"male",1
11,"Mary",10,2,"black",2,47,"female",0
14,"Samuel",10,2,"brown",5,44,"male",0
7,"Carroll",10,5,"blue",4,44,"male",1
7,"Charlotte",11,3,"white",2,42,"female",1
11,"Thomas",11,2,"black",7,50,"male",0
7,"Jodi",9,3,"white",4,49,"female",1
10,"Albert",11,5,"red",2,53,"male",1
12,"Dale",11,2,"black",5,40,"male",0
8,"Lauryn",9,4,"brown",7,45,"female",1
14,"Carissa",11,2,"black",6,46,"female",0
12,"Kenneth",10,2,"black",5,51,"male",0
10,"Jane",11,2,"red",5,54,"female",0
12,"Catherine",10,2,"red",0,54,"female",0
10,"Lee",11,5,"purple",1,51,"female",1
11,"Stephanie",11,5,"blue",0,42,"female",1
14,"Wayne",11,2,"black",3,42,"male",0
14,"Annie",11,2,"brown",6,43,"female",0
9,"Richard",9,5,"purple",4,49,"male",1
14,"Oswaldo",11,2,"brown",2,52,"male",0
11,"Thomas",11,2,"black",4,45,"male",0
9,"William",9,5,"red",1,46,"male",1
8,"Diane",9,3,"brown",6,49,"female",1
8,"Betty",8,5,"blue",0,43,"female",1
11,"Melvin",11,2,"brown",7,49,"male",0
10,"Rosalie",10,5,"brown",4,42,"female",1
14,"James",11,2,"red",1,48,"male",0
10,"Bobby",11,2,"brown",1,46,"male",0
10,"Brian",10,2,"red",0,41,"male",0
9,"Gary",11,4,"blue",4,42,"male",1
9,"James",9,4,"green",5,52,"male",1
11,"Violet",11,5,"green",7,53,"female",1
7,"Mario",10,4,"green",2,45,"male",1
12,"Betty",10,2,"black",5,54,"female",0
11,"Martin",10,2,"brown",3,49,"male",0
10,"James",10,2,"black",6,45,"male",0
10,"Victoria",11,2,"red",5,54,"female",0
10,"Dustin",8,5,"white",3,44,"male",1
14,"Maribel",10,2,"brown",2,45,"female",0
11,"Noel",10,2,"brown",0,52,"male",0
8,"Carolyn",11,3,"red",2,43,"female",1
10,"Michelle",8,3,"red",6,48,"female",1
7,"Alysia",8,4,"purple",5,53,"female",1
11,"Rene",11,2,"red",1,46,"male",0
8,"Vicki",9,4,"white",6,52,"female",1
14,"Jason",11,2,"black",1,43,"male",0
14,"Mary",10,2,"brown",3,46,"female",0
10,"Ana",11,2,"brown",4,52,"female",0
12,"Jesus",11,2,"brown",5,54,"male",0
9,"Angel",9,3,"grey",0,52,"female",1
7,"Horace",8,4,"grey",5,49,"male",1
12,"John",11,2,"black",0,51,"male",0
7,"Billie",9,3,"brown",0,46,"male",1
11,"Ruth",11,2,"black",6,51,"female",0
11,"Cameron",10,3,"purple",0,40,"male",1
12,"Richard",11,2,"red",0,47,"male",0
12,"Julia",10,2,"red",6,45,"female",0
11,"Heather",10,4,"grey",6,40,"female",1
7,"John",10,5,"blue",6,44,"male",1
8,"David",11,3,"grey",5,41,"male",1
12,"Joann",11,2,"red",2,52,"female",0
11,"Daniel",10,2,"brown",4,41,"male",0
11,"Oscar",10,2,"red",5,42,"male",0
8,"Francisco",10,5,"brown",0,54,"male",1
12,"Shani",10,2,"brown",7,54,"female",0
9,"Gerald",11,5,"red",2,49,"male",1
10,"Susan",10,2,"red",0,41,"female",0
10,"Robert",11,2,"red",5,53,"male",0
10,"Audrey",10,5,"red",0,40,"female",1
8,"Thanh",10,3,"brown",6,52,"male",1
7,"Reginald",11,3,"green",5,41,"male",1
7,"Esteban",10,4,"green",6,41,"male",1
11,"Linda",11,2,"red",4,47,"female",0
12,"Lisa",11,2,"brown",7,45,"female",0
11,"Gary",10,2,"red",3,44,"male",0
11,"Mindy",11,2,"red",0,47,"female",0
14,"Judith",11,2,"black",7,44,"female",0
8,"Breanna",8,4,"red",1,48,"female",1
8,"Virgina",9,4,"brown",5,46,"female",1
7,"Diane",10,5,"grey",1,51,"female",1
10,"William",10,2,"black",4,44,"male",0
10,"Theresa",9,4,"green",1,48,"female",1
11,"Connie",8,4,"purple",0,48,"female",1
10,"Matthew",11,2,"brown",3,53,"male",0
10,"Sandra",11,3,"blue",4,54,"female",1
8,"Rebecca",10,4,"red",6,44,"female",1
11,"Enriqueta",11,2,"brown",5,51,"female",0
14,"Paul",10,2,"black",3,50,"male",0
7,"Michael",10,5,"red",6,42,"male",1
11,"Delaine",9,5,"green",6,50,"female",1
8,"Linda",10,5,"grey",7,41,"female",1
8,"Karen",9,4,"white",0,42,"female",1
13,"George",10,2,"red",5,41,"male",0
11,"Jason",11,4,"green",6,54,"male",1
11,"Linda",8,3,"white",1,40,"female",1
7,"Wallace",10,4,"white",0,47,"male",1
13,"Richard",11,2,"black",6,49,"male",0
11,"Hector",10,5,"blue",0,40,"male",1
7,"Rosa",10,3,"red",0,41,"female",1
9,"Carter",10,4,"brown",6,42,"male",1
13,"James",10,2,"brown",0,49,"male",0
10,"Abe",10,2,"brown",1,52,"male",0
9,"Jennifer",10,4,"blue",0,46,"female",1
14,"Rodney",10,2,"brown",3,51,"male",0
11,"Jack",9,3,"brown",3,52,"male",1
9,"Thomas",10,3,"red",6,45,"male",1
13,"Melissa",11,2,"black",2,44,"female",0
11,"Jocelyn",10,2,"brown",6,48,"female",0
10,"Susan",10,2,"brown",5,41,"female",0
11,"Minnie",8,4,"purple",3,42,"female",1
11,"Jon",10,3,"grey",1,44,"male",1
9,"John",10,5,"blue",2,50,"male",1
13,"Phyllis",11,2,"red",6,54,"female",0
7,"Elwanda",8,4,"brown",3,48,"female",1
10,"Ada",8,4,"brown",7,40,"female",1
14,"Justin",11,2,"black",4,51,"male",0
11,"Terri",10,2,"black",7,53,"female",0
11,"Melissa",9,3,"blue",6,53,"female",1
9,"Kimberly",9,5,"white",4,42,"female",1
12,"Denise",11,2,"black",4,43,"female",0
7,"Micheal",9,4,"grey",5,52,"male",1
8,"Gary",9,5,"white",5,53,"male",1
14,"Jose",11,2,"black",4,54,"male",0
12,"Trevor",10,2,"red",6,46,"male",0
9,"John",10,4,"brown",6,48,"male",1
10,"Melissa",11,3,"brown",4,41,"female",1
11,"Elizabeth",10,2,"red",7,41,"female",0
8,"Jacqueline",9,3,"purple",0,41,"female",1
10,"Danny",11,2,"red",1,50,"male",0
7,"Constance",8,3,"white",5,53,"female",1
14,"Michael",10,2,"brown",1,46,"male",0
10,"Gia",8,5,"grey",0,46,"female",1
13,"Jon",11,2,"black",1,50,"male",0
14,"David",10,2,"black",3,47,"male",0
13,"Esther",11,2,"brown",0,46,"female",0
10,"Shelly",10,2,"brown",3,46,"female",0
14,"Bernard",11,2,"red",0,46,"male",0
13,"Brandon",11,2,"black",6,45,"male",0
10,"Archie",11,2,"black",0,54,"male",0
14,"Maria",11,2,"red",1,40,"female",0
8,"Jerri",8,4,"blue",4,54,"female",1
11,"Wallace",8,5,"grey",6,52,"male",1
11,"Paul",10,2,"brown",5,54,"male",0
9,"Christopher",10,3,"grey",7,52,"male",1
11,"Betty",10,5,"purple",2,51,"female",1
14,"Jason",10,2,"black",1,50,"male",0
13,"Karrie",11,2,"brown",4,51,"female",0
9,"Troy",8,3,"brown",6,43,"male",1
10,"Eugenia",10,4,"brown",7,51,"female",1
12,"Rachel",10,2,"black",1,53,"female",0
11,"Regina",10,2,"black",4,51,"female",0
10,"Jamar",8,3,"red",7,43,"male",1
10,"Martha",11,4,"grey",4,44,"female",1
10,"Samuel",10,2,"red",3,41,"male",0
12,"Stephanie",10,2,"black",4,45,"female",0
9,"Cory",8,3,"brown",7,46,"male",1
14,"Daniel",11,2,"brown",0,43,"male",0
11,"Anthony",11,4,"brown",6,47,"male",1
13,"Mary",11,2,"black",0,41,"female",0
9,"James",9,3,"blue",1,40,"male",1
13,"Joyce",10,2,"black",5,40,"female",0
8,"Ramon",11,3,"grey",6,48,"male",1
14,"Velma",11,2,"black",0,40,"female",0
14,"Michael",10,2,"brown",5,48,"male",0
8,"Kenneth",10,5,"blue",7,47,"male",1
9,"Cheryl",11,3,"green",2,48,"female",1
7,"Michael",11,5,"purple",1,41,"male",1
14,"Kyle",10,2,"black",6,52,"male",0
10,"Lynda",9,4,"brown",1,43,"female",1
9,"Charles",10,3,"purple",6,41,"male",1
14,"John",10,2,"black",4,49,"male",0
11,"Robert",10,2,"black",2,41,"male",0
7,"James",9,3,"green",4,50,"male",1
14,"Jeffrey",11,2,"black",3,54,"male",0
13,"Laura",11,2,"brown",0,41,"female",0
14,"Suzanne",10,2,"black",3,48,"female",0
12,"Magda",10,2,"red",7,47,"female",0
11,"Amy",9,3,"red",1,50,"female",1
8,"Ronald",8,3,"white",0,44,"male",1
7,"Karen",10,4,"grey",6,42,"female",1
10,"Ruth",8,3,"blue",4,47,"female",1
10,"Rosa",10,3,"grey",6,51,"female",1
8,"Donna",8,4,"purple",4,49,"female",1
12,"Penelope",10,2,"brown",0,40,"female",0
9,"Whitney",8,4,"purple",3,40,"female",1
11,"Romona",9,5,"green",3,49,"female",1
14,"Patricia",10,2,"red",6,41,"female",0
11,"Bonnie",10,2,"brown",2,40,"female",0
9,"Darwin",9,3,"white",0,52,"male",1
7,"Marina",11,4,"white",4,52,"female",1
10,"Richard",10,2,"black",3,52,"male",0
11,"Katherine",9,4,"blue",3,53,"female",1
8,"John",8,5,"red",7,52,"male",1
11,"Francisca",10,3,"white",4,44,"female",1
11,"Charles",11,2,"red",4,50,"male",0
13,"Clinton",10,2,"black",0,44,"male",0
13,"Tamera",11,2,"black",7,43,"female",0
9,"John",8,4,"red",0,48,"male",1
14,"Maureen",10,2,"red",4,46,"female",0
8,"Jeffery",11,4,"brown",6,49,"male",1
9,"George",11,3,"white",1,49,"male",1
11,"Jennifer",10,4,"red",4,49,"female",1
14,"Richard",11,2,"brown",7,48,"male",0
9,"Valerie",11,4,"red",7,42,"female",1
11,"James",10,2,"brown",7,49,"male",0
11,"William",11,2,"black",6,50,"male",0
10,"Nathaniel",8,3,"brown",7,41,"male",1
11,"Edwin",8,4,"red",4,49,"male",1
9,"Ryan",9,5,"blue",4,49,"male",1
11,"Bertha",11,4,"purple",5,50,"female",1
11,"Nelson",11,2,"black",5,41,"male",0
8,"Nicole",11,3,"white",2,49,"female",1
11,"Patricia",11,5,"blue",0,54,"female",1
7,"Jim",10,4,"brown",5,40,"male",1
13,"Ann",11,2,"black",6,50,"female",0
10,"Cheryl",10,5,"blue",7,50,"female",1
7,"Raymond",8,5,"white",5,42,"male",1
11,"Barbara",11,2,"black",0,48,"female",0
9,"Michael",9,3,"white",6,46,"male",1
12,"Candace",11,2,"black",6,46,"female",0
12,"Penny",10,2,"black",0,47,"female",0
8,"Victoria",11,4,"grey",0,53,"female",1
8,"Kelsey",11,3,"brown",5,42,"female",1
13,"Lynn",11,2,"red",0,47,"female",0
10,"Jean",10,5,"green",3,44,"female",1
10,"Dennis",11,2,"black",7,43,"male",0
10,"Anne",10,3,"blue",5,47,"female",1
13,"Kay",11,2,"black",0,54,"female",0
10,"Violet",10,3,"grey",2,53,"female",1
13,"Cherly",11,2,"red",3,42,"female",0
7,"Miguel",9,5,"blue",0,42,"male",1
12,"Joe",11,2,"brown",7,45,"male",0
14,"Marilyn",11,2,"black",7,44,"female",0
14,"James",11,2,"red",1,52,"male",0
13,"Jesus",11,2,"black",2,54,"male",0
10,"Joseph",11,4,"white",2,46,"male",1
12,"Kenny",10,2,"black",2,46,"male",0
11,"Dean",11,3,"red",6,43,"male",1
8,"Robert",9,4,"purple",1,41,"male",1
7,"Annamae",11,4,"red",7,45,"female",1
11,"Mitchel",8,5,"purple",0,46,"male",1
11,"Donald",11,2,"red",4,54,"male",0
8,"Matthew",10,4,"purple",3,49,"male",1
12,"Jessica",10,2,"red",0,51,"female",0
10,"Robert",8,3,"red",5,43,"male",1
9,"Ryan",11,4,"blue",6,46,"male",1
13,"Rosalie",10,2,"black",5,50,"female",0
9,"Rachel",11,5,"purple",5,46,"female",1
12,"Heather",11,2,"brown",7,50,"female",0
11,"Sarah",9,5,"grey",3,42,"female",1
13,"Phyllis",11,2,"black",4,46,"female",0
11,"Bonnie",11,2,"brown",3,41,"female",0
7,"Harold",9,3,"brown",0,44,"male",1
8,"Julie",8,3,"white",4,42,"female",1
11,"Paul",10,2,"red",3,48,"male",0
7,"Cheryle",11,4,"purple",0,54,"female",1
9,"Elizabeth",9,3,"brown",7,52,"female",1
10,"Michael",10,3,"purple",0,51,"male",1
8,"Angela",8,4,"grey",7,51,"female",1
10,"Joseph",9,5,"grey",4,50,"male",1
8,"Donald",8,5,"grey",0,42,"male",1
10,"Todd",8,5,"blue",6,43,"male",1
9,"Angelic",9,3,"white",7,40,"female",1
11,"Linda",10,4,"purple",1,49,"female",1
14,"Thomas",10,2,"red",6,54,"male",0
9,"Melvin",8,5,"white",7,47,"male",1
10,"Berniece",11,4,"white",2,41,"female",1
10,"Felix",9,3,"blue",2,53,"male",1
9,"Willard",8,4,"red",0,45,"male",1
13,"Rebecca",10,2,"brown",4,51,"female",0
11,"Anita",11,2,"brown",2,43,"female",0
10,"Terry",11,2,"brown",0,54,"male",0
11,"Edward",11,2,"red",0,43,"male",0
12,"Bethany",10,2,"brown",6,47,"female",0
14,"Helen",10,2,"brown",6,42,"female",0
14,"Howard",11,2,"red",7,43,"male",0
10,"Dorothy",8,4,"white",2,45,"female",1
10,"Timothy",8,3,"green",0,54,"male",1
10,"Cecil",10,5,"red",6,45,"male",1
10,"Jason",10,3,"red",4,42,"male",1
11,"Bryant",11,2,"brown",0,54,"male",0
10,"Barbara",11,2,"red",0,51,"female",0
12,"Bernard",10,2,"black",0,53,"male",0
8,"Edgar",11,5,"brown",1,51,"male",1
12,"Larry",11,2,"black",5,49,"male",0
9,"Joshua",8,4,"purple",2,42,"male",1
9,"Freddy",8,5,"red",2,51,"male",1
12,"Amy",11,2,"red",4,52,"female",0
9,"Ramon",8,3,"green",5,47,"male",1
11,"Willard",10,3,"white",0,42,"male",1
7,"Corey",8,5,"grey",4,43,"male",1
13,"Sandra",10,2,"brown",1,44,"female",0
10,"Frances",10,4,"grey",3,41,"female",1
11,"Shannan",10,4,"red",6,42,"female",1
11,"Angel",8,3,"grey",5,40,"male",1
9,"Roger",8,4,"brown",5,50,"male",1
11,"Earl",11,5,"brown",0,42,"male",1
14,"Douglas",10,2,"black",4,47,"male",0
10,"Henry",11,3,"brown",2,45,"male",1
8,"Jennifer",11,4,"blue",1,50,"female",1
10,"Anne",11,3,"grey",3,54,"female",1
14,"Nancy",11,2,"black",4,43,"female",0
13,"Adolfo",10,2,"red",1,43,"male",0
11,"Juan",10,2,"black",3,43,"male",0
7,"Amanda",11,4,"grey",7,43,"female",1
9,"Audrey",8,3,"grey",2,46,"female",1
13,"Roy",11,2,"red",7,49,"male",0
12,"Michael",10,2,"black",7,40,"male",0
12,"Rachel",10,2,"black",2,46,"female",0
7,"Dion",8,3,"blue",6,46,"male",1
12,"Andrew",10,2,"black",3,49,"male",0
8,"Wanda",11,5,"purple",4,44,"female",1
11,"Edith",10,2,"black",1,45,"female",0
13,"Martha",10,2,"red",1,49,"female",0
14,"Anna",11,2,"brown",0,54,"female",0
11,"Alfred",8,4,"white",0,47,"male",1
11,"Alfred",11,2,"brown",0,47,"male",0
14,"Daniel",11,2,"red",2,54,"male",0
14,"Jennifer",11,2,"black",4,47,"female",0
12,"Teresa",11,2,"red",6,44,"female",0
12,"Shawn",10,2,"brown",6,53,"male",0
14,"Clyde",11,2,"red",1,49,"male",0
7,"Marie",8,3,"red",2,41,"female",1
10,"Laura",8,3,"grey",3,47,"female",1
8,"Harrison",11,4,"blue",5,42,"male",1
13,"Julie",11,2,"brown",6,53,"female",0
10,"Phebe",10,5,"brown",4,41,"female",1
12,"Wilton",10,2,"red",5,51,"male",0
13,"Joe",11,2,"red",4,53,"male",0
8,"Greta",10,3,"white",0,49,"female",1
13,"Mark",11,2,"red",6,51,"male",0
14,"Richard",11,2,"black",0,43,"male",0
9,"Kaitlyn",11,3,"brown",6,47,"female",1
7,"John",8,3,"white",1,44,"female",1
8,"Ashley",11,3,"brown",0,42,"female",1
14,"Suzanne",11,2,"brown",6,49,"female",0
14,"Donna",11,2,"black",2,41,"female",0
11,"Sophie",11,4,"grey",0,51,"female",1
13,"Noemi",10,2,"red",2,52,"female",0
7,"Melvin",10,3,"purple",1,43,"male",1
7,"Jesse",11,4,"blue",3,49,"male",1
11,"Julie",8,3,"grey",2,40,"female",1
7,"Ma",8,4,"blue",1,52,"female",1
11,"Rick",10,3,"brown",7,43,"male",1
11,"Dawn",10,2,"red",3,42,"female",0
10,"Henry",8,5,"green",3,49,"male",1
11,"Alton",10,2,"black",4,54,"male",0
7,"Michael",10,4,"grey",2,53,"male",1
8,"Johnny",8,4,"purple",0,50,"male",1
11,"Joshua",9,3,"grey",6,40,"male",1
13,"Alan",10,2,"black",0,41,"male",0
13,"Cherise",11,2,"black",4,46,"female",0
10,"Amanda",10,2,"red",5,49,"female",0
12,"William",10,2,"red",3,43,"male",0
13,"Emily",11,2,"brown",4,46,"female",0
8,"Andrew",8,5,"grey",2,47,"male",1
8,"Minnie",10,5,"green",5,54,"female",1
11,"Christina",11,5,"brown",3,50,"female",1
10,"Tracy",11,5,"green",7,51,"female",1
13,"David",11,2,"red",7,40,"male",0
14,"Edward",11,2,"black",6,41,"male",0
10,"George",8,5,"white",2,41,"male",1
14,"Esther",10,2,"red",5,44,"female",0
14,"Jeanne",10,2,"brown",0,47,"female",0
9,"Bernard",11,5,"grey",5,50,"male",1
8,"Daniel",9,5,"red",2,53,"male",1
10,"Jeannie",10,2,"brown",0,46,"female",0
11,"Willie",10,2,"red",7,45,"male",0
13,"Charles",10,2,"red",6,53,"male",0
9,"Beverley",8,4,"white",2,47,"female",1
14,"Douglas",10,2,"brown",2,46,"male",0
9,"James",9,4,"blue",2,45,"male",1
11,"Ronald",10,2,"red",2,46,"male",0
11,"Robert",10,3,"white",5,42,"male",1
11,"Michael",10,2,"brown",3,46,"male",0
12,"Everett",11,2,"black",0,46,"male",0
9,"Sharla",11,5,"green",7,53,"female",1
7,"James",11,4,"green",3,46,"male",1
7,"Willie",8,5,"grey",6,41,"male",1
14,"Chas",11,2,"brown",7,47,"male",0
11,"Kendra",8,4,"brown",3,44,"female",1
11,"Arnold",11,2,"black",2,47,"male",0
10,"Norma",10,2,"brown",4,43,"female",0
13,"Shawn",11,2,"black",1,40,"male",0
9,"Ian",11,5,"purple",0,44,"male",1
10,"Edward",11,2,"red",5,43,"male",0
14,"Leann",11,2,"red",6,40,"female",0
13,"Harold",11,2,"brown",5,45,"male",0
14,"Joanna",11,2,"black",0,41,"female",0
13,"David",10,2,"black",3,48,"male",0
9,"Marsha",11,4,"blue",1,49,"female",1
12,"Mallory",11,2,"black",7,44,"female",0
10,"Robert",11,2,"brown",2,46,"male",0
9,"John",10,5,"green",2,49,"male",1
7,"Mark",8,5,"blue",3,50,"male",1
10,"Candy",11,4,"blue",0,45,"female",1
7,"Ryan",9,3,"green",2,52,"male",1
13,"John",10,2,"black",4,49,"male",0
8,"Troy",10,3,"red",5,42,"male",1
13,"Brent",10,2,"brown",2,45,"male",0
9,"Kevin",11,4,"purple",7,41,"male",1
12,"Molly",10,2,"red",3,52,"female",0
7,"Elinor",8,5,"blue",4,40,"female",1
13,"Roger",11,2,"brown",4,42,"male",0
10,"Brenda",10,2,"red",3,47,"female",0
11,"Michael",8,3,"brown",1,42,"male",1
11,"Bernice",11,5,"brown",5,41,"female",1
12,"Herman",11,2,"brown",0,48,"male",0
11,"Stephanie",11,2,"black",6,48,"female",0
8,"Frances",9,3,"red",1,53,"female",1
9,"Jennifer",11,3,"green",2,43,"female",1
14,"Ignacio",11,2,"brown",3,44,"male",0
10,"Sharon",10,2,"black",5,42,"female",0
13,"Gary",10,2,"red",6,45,"male",0
13,"Benny",11,2,"brown",6,41,"male",0
7,"Owen",9,3,"green",0,52,"male",1
9,"Robert",10,5,"blue",6,43,"male",1
13,"Rick",10,2,"black",1,46,"male",0
13,"Kara",11,2,"black",1,45,"female",0
8,"Ernest",11,4,"grey",3,43,"male",1
13,"Chester",10,2,"brown",5,40,"male",0
12,"John",10,2,"black",5,52,"male",0
13,"John",11,2,"red",6,51,"male",0
14,"Ruth",10,2,"brown",0,41,"female",0
12,"Arlene",10,2,"red",7,43,"female",0
11,"Paul",8,5,"white",1,46,"male",1
14,"Elizabeth",10,2,"brown",2,46,"female",0
10,"Melinda",11,2,"brown",0,48,"female",0
11,"Carmen",9,3,"purple",4,50,"female",1
11,"Rhonda",10,4,"blue",0,45,"female",1
7,"Carmine",8,3,"purple",2,50,"male",1
8,"Alan",10,5,"white",1,42,"male",1
13,"Kristine",10,2,"black",2,48,"female",0
8,"Effie",8,3,"green",3,45,"female",1
7,"Justin",10,5,"green",4,42,"male",1
10,"Alma",8,4,"purple",1,54,"female",1
7,"Mathew",11,4,"grey",7,53,"male",1
10,"Lashawnda",11,2,"brown",0,40,"female",0
9,"Cathy",8,5,"blue",4,49,"female",1
11,"James",9,3,"purple",0,43,"male",1
11,"Leif",9,4,"green",3,40,"male",1
10,"Brendan",11,2,"black",3,45,"male",0
9,"Margaret",11,5,"red",5,50,"female",1
7,"Jimmie",11,3,"green",0,51,"male",1
11,"Tamara",10,2,"black",6,52,"female",0
12,"Tammy",11,2,"red",2,45,"female",0
10,"Marie",10,2,"red",5,50,"female",0
11,"Jessie",8,5,"red",4,44,"female",1
14,"Alex",11,2,"brown",3,40,"male",0
10,"Mary",11,2,"black",0,44,"female",0
8,"Daisy",9,5,"brown",1,44,"female",1
14,"Sylvia",10,2,"black",4,43,"female",0
10,"Christopher",10,5,"white",6,47,"male",1
11,"Brigitte",9,3,"purple",7,42,"female",1
11,"Charles",10,4,"blue",3,42,"male",1
9,"Susie",9,3,"white",1,43,"female",1
13,"Hershel",10,2,"black",7,40,"male",0
9,"Theresa",10,4,"green",7,47,"female",1
9,"Nancy",11,4,"blue",7,45,"female",1
10,"Jacquelyn",10,2,"brown",0,52,"female",0
12,"Noah",11,2,"brown",5,40,"male",0
13,"Rene",11,2,"brown",7,52,"female",0
13,"Barbara",10,2,"black",1,53,"female",0
11,"Mary",10,2,"red",3,43,"female",0
11,"Marian",10,5,"blue",1,51,"female",1
10,"Cheryl",9,3,"red",1,40,"female",1
10,"Deanna",11,5,"brown",0,51,"female",1
8,"Lashonda",8,3,"red",1,45,"female",1
13,"Jane",11,2,"black",4,40,"female",0
10,"Hugh",9,3,"white",6,51,"male",1
10,"Philip",10,2,"red",5,46,"male",0
11,"Margaret",9,4,"brown",4,41,"female",1
12,"Tashia",10,2,"brown",0,42,"female",0
13,"Rhonda",11,2,"black",5,43,"female",0
10,"Mary",10,5,"grey",2,52,"female",1
9,"Shari",9,4,"white",2,42,"female",1
12,"James",10,2,"brown",0,51,"male",0
7,"Irene",10,4,"blue",2,47,"female",1
9,"Philip",11,5,"purple",2,50,"male",1
8,"Donald",9,3,"brown",5,42,"male",1
7,"Anthony",9,3,"red",2,44,"male",1
14,"Elvin",11,2,"red",5,42,"male",0
14,"Warren",11,2,"red",2,42,"male",0
14,"Paul",10,2,"red",6,41,"male",0
8,"Joan",11,4,"grey",5,50,"female",1
7,"Brianna",11,4,"green",6,48,"female",1
10,"Karen",10,2,"brown",4,51,"female",0
10,"Tonya",10,2,"red",5,48,"female",0
12,"Joana",11,2,"red",1,51,"female",0
7,"Fernando",11,5,"white",7,42,"male",1
11,"Mary",11,2,"red",4,54,"female",0
8,"Daniel",11,3,"red",1,49,"male",1
13,"Carol",10,2,"brown",7,54,"female",0
10,"Jeffrey",10,5,"brown",4,41,"male",1
13,"Amy",11,2,"brown",5,51,"female",0
10,"Kenneth",11,2,"brown",6,44,"male",0
11,"Thomas",10,2,"black",5,42,"male",0
9,"Brandon",11,3,"red",2,47,"male",1
10,"Clyde",11,2,"red",7,50,"male",0
7,"Gerald",9,5,"purple",7,47,"male",1
12,"Fred",11,2,"brown",7,41,"male",0
14,"Timothy",10,2,"red",5,51,"male",0
10,"Carol",10,2,"red",1,47,"female",0
